JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2417563.3,9.5,,,Vis.,EAH,,NA,,NA,"""V2A!,V2B,V0E""",,,Z,,,,RW AUR,AAVSO,STD,,1907AN....175..205E,BBI,
2417567.3,9.3,,,Vis.,EAH,,NA,,NA,"""V4A,V3B,C1V,V3G""",,,Z,,,,RW AUR,AAVSO,STD,,1907AN....175..205E,BBI,
2417569.4,9.4,,,Vis.,EAH,B,NA,,NA,"""C3V,A AND B NOT VISIBLE, MOON""",,,Z,,,,RW AUR,AAVSO,STD,,1907AN....175..205E,BBI,
2417574.4,9.3,,,Vis.,EAH,B,NA,,NA,"""C2V,A AND B NOT VISIBLE, MOON""",,,Z,,,,RW AUR,AAVSO,STD,,1907AN....175..205E,BBI,
2417577.3,9.3,,,Vis.,EAH,,NA,,NA,"""C2V,V4A,V4B,V3G""",,,Z,,,,RW AUR,AAVSO,STD,,1907AN....175..205E,BBI,
2417579.3,9.3,,,Vis.,EAH,,NA,,NA,C2V,,,Z,,,,RW AUR,AAVSO,STD,,1907AN....175..205E,BBI,
2417580.3,9.3,,,Vis.,EAH,,NA,,NA,C2V,,,Z,,,,RW AUR,AAVSO,STD,,1907AN....175..205E,BBI,
2417582.3,9.1,,,Vis.,EAH,,NA,,NA,"""V1C!,D2V""",,,Z,,,,RW AUR,AAVSO,STD,,1907AN....175..205E,BBI,
2417585.4,9.15,,,Vis.,EAH,,NA,,NA,"""V1C,D3V""",,,Z,,,,RW AUR,AAVSO,STD,,1907AN....175..205E,BBI,
2417586.3,9.45,,,Vis.,EAH,U,NA,,NA,"""C2V,V0G?""",,,Z,,,,RW AUR,AAVSO,STD,,1907AN....175..205E,BBI,
2417589.3,9.3,,,Vis.,EAH,,NA,,NA,C2V,,,Z,,,,RW AUR,AAVSO,STD,,1907AN....175..205E,BBI,
2417592.4,9.3,,,Vis.,EAH,,NA,,NA,"""C2V,D3V""",,,Z,,,,RW AUR,AAVSO,STD,,1907AN....175..205E,BBI,
2417593.3,9.41,,,Vis.,EAH,,NA,,NA,"""V2.5A,V2B,C3V,D3V""",,,Z,,,,RW AUR,AAVSO,STD,,1907AN....175..205E,BBI,
2417595.3,9.27,,,Vis.,EAH,,NA,,NA,"""V5A,C2V,D2V,V2G""",,,Z,,,,RW AUR,AAVSO,STD,,1907AN....175..205E,BBI,
2417597.3,9.32,,,Vis.,EAH,B,NA,,NA,"""C2.5V,D3V,MOON""",,,Z,,,,RW AUR,AAVSO,STD,,1907AN....175..205E,BBI,
2417598.3,9.35,,,Vis.,EAH,B,NA,,NA,"""C3V,D3V,MOON""",,,Z,,,,RW AUR,AAVSO,STD,,1907AN....175..205E,BBI,
2417606.3,9.57,,,Vis.,EAH,,NA,,NA,"""V1A,V2B,V0G""",,,Z,,,,RW AUR,AAVSO,STD,,1907AN....175..205E,BBI,
2417607.3,9.57,,,Vis.,EAH,,NA,,NA,"""V1A,V2B,V0G""",,,Z,,,,RW AUR,AAVSO,STD,,1907AN....175..205E,BBI,
2417609.3,9.5,,,Vis.,EAH,,NA,,NA,"""V2A,V1G""",,,Z,,,,RW AUR,AAVSO,STD,,1907AN....175..205E,BBI,
